step,date,action,price,position,portfolio_value,reward
0,2015-01-23,0,15.619500160217283,0,10000.0,0.0
1,2015-01-26,0,15.482999801635742,0,10000.0,0.0
2,2015-01-27,1,15.337499618530272,1,9990.0,-0.0010000000000000009
3,2015-01-28,0,15.195500373840332,1,9897.50953612161,-0.009258304692531527
4,2015-01-29,0,15.58899974822998,1,10153.813291487524,0.02589578261385017
5,2015-01-30,1,17.726499557495117,1,11546.06259063404,0.13711590504758542
6,2015-02-02,1,18.223499298095703,1,11869.78076713533,0.02803710563321249
7,2015-02-03,1,18.177499771118164,1,11839.819216300119,-0.0025241873816378435
8,2015-02-04,1,18.237499237060547,1,11878.899554013069,0.0033007545975995978
9,2015-02-05,1,18.694499969482425,1,12176.564586152906,0.02505830029005307
10,2015-02-06,1,18.714000701904297,1,12189.266286021842,0.0010431267192867466
11,2015-02-09,1,18.527999877929688,1,12068.115624067701,-0.009939126696499545
12,2015-02-10,1,18.649999618530273,1,12147.579515765365,0.00658461471310301
13,2015-02-11,0,18.756999969482425,1,12217.273633620178,0.005737284350710636
14,2015-02-12,0,18.85849952697754,1,12283.384838483787,0.005411289527123442
15,2015-02-13,0,19.09149932861328,1,12435.148038238254,0.012355161199459674
16,2015-02-17,0,18.771499633789062,1,12226.717913980472,-0.01676137056164162
17,2015-02-18,0,18.668500900268555,1,12159.63022866919,-0.0054869741645524606
18,2015-02-19,0,18.950000762939453,1,12342.983689013188,0.015078868098447495
19,2015-02-20,0,19.183000564575195,1,12494.746888767655,0.012295503549077491
20,2015-02-23,0,19.006999969482425,1,12380.109823489262,-1.0197318842635872
21,2015-02-24,0,18.929500579833984,1,12329.631002179136,-0.469118930656847
22,2015-02-25,0,19.26849937438965,1,12550.436090481762,1.5848198868165613
23,2015-02-26,1,19.239999771118164,1,12531.873023243726,-0.20428022910286867
24,2015-02-27,0,19.007999420166016,1,12380.760810454374,-1.3401530837901667
25,2015-03-02,1,19.28300094604492,1,12559.881613183594,1.2903287523092382
26,2015-03-03,0,19.230499267578125,1,12525.684920050535,-0.33029345909626245
27,2015-03-04,1,19.13599967956543,1,12464.133108625794,-0.5577680714420461
28,2015-03-05,0,19.39150047302246,1,12630.552211486076,1.194202719762874
29,2015-03-06,0,19.004499435424805,1,12378.481113734939,-2.2670411518606435
30,2015-03-09,0,18.92799949645996,1,12328.653279389928,-0.4560544544437274
31,2015-03-10,1,18.475500106811523,1,12033.920173276178,-2.6854223748811714
32,2015-03-11,1,18.318500518798828,1,11931.659314384166,-0.9007457116885251
33,2015-03-12,0,18.711999893188477,1,12187.96306975008,1.8907075716537751
34,2015-03-13,0,18.52899932861328,1,12068.766611032815,-1.0334857505866033
35,2015-03-16,0,18.667499542236328,1,12158.97799936254,0.6628975995576734
36,2015-03-17,0,18.59600067138672,1,12112.40758452617,-0.4216202750186684
37,2015-03-18,0,18.756999969482425,1,12217.273633620178,0.7722993277441625
38,2015-03-19,0,18.66200065612793,1,12155.396328712877,-0.5489569465711045
39,2015-03-20,0,18.92449951171875,1,12326.373582670494,1.2532503827622845
40,2015-03-23,0,18.75550079345703,1,12216.297153172505,-0.9522151875924273
41,2015-03-24,0,18.704500198364254,1,12183.07818282865,-0.31185483450275103
42,2015-03-25,1,18.54800033569336,1,12081.142817419197,-0.8889490287584724
43,2015-03-26,0,18.36750030517578,1,11963.575068456254,-1.0278392393023221
44,2015-03-27,0,18.527999877929688,1,12068.115624067701,0.7890337690469368
45,2015-03-30,0,18.72949981689453,1,12199.361553347253,0.9804241331113811
46,2015-03-31,1,18.604999542236328,1,12118.268951895268,-0.7108653872098407
47,2015-04-01,1,18.51300048828125,1,12058.345850224847,-0.534363751071823
48,2015-04-02,0,18.612499237060547,1,12123.153838816695,0.4777354573675432
